id	group
dnaN_pro	protein
purL_pro	protein
ftsY_pro	protein
PMED4_00121_pro	protein
gap2_pro	protein
accB_pro	protein
PMED4_00311_pro	protein
DHSS_pro	protein
guaA_pro	protein
alaS_pro	protein
ndk_pro	protein
gatB_pro	protein
PMED4_00551_pro	protein
PMED4_00601_pro	protein
accC_pro	protein
PMED4_00651_pro	protein
PMED4_00771_pro	protein
pgm_pro	protein
PMED4_01021_pro	protein
crtQ_pro	protein
PMED4_01301_pro	protein
rpaA_pro	protein
rpaB_pro	protein
PMED4_01481_pro	protein
ndhD_pro	protein
ndhI_pro	protein
gltA_pro	protein
cysC_pro	protein
PMED4_01751_pro	protein
nadC_pro	protein
thdF_pro	protein
pgk_pro	protein
rplJ_pro	protein
rplK_pro	protein
nusG_pro	protein
eno_pro	protein
trxB_pro	protein
PMED4_02201_pro	protein
psbA_pro	protein
aroC_pro	protein
ftsH2_pro	protein
cysD_pro	protein
psbO_pro	protein
ileS_pro	protein
thy1_pro	protein
dcd_pro	protein
glyA_pro	protein
amt1_pro	protein
PMED4_02781_pro	protein
hisB_pro	protein
fabI_pro	protein
PMED4_02941_pro	protein
psbE_pro	protein
psbL_pro	protein
PMED4_03061_pro	protein
metK_pro	protein
"rps1a, rpsA1_pro"	protein
minE_pro	protein
minD_pro	protein
petB_pro	protein
PMED4_03341_pro	protein
psaE_pro	protein
PMED4_03371_pro	protein
PMED4_03501_pro	protein
PMED4_03911_pro	protein
PMED4_03941_pro	protein
spnII-interrupted-C_pro	protein
lrtA_pro	protein
PMED4_04441_pro	protein
cysK1_pro	protein
rpsD_pro	protein
PMED4_04601_pro	protein
topA_pro	protein
fabG_pro	protein
ppx_pro	protein
PMED4_05061_pro	protein
petC_pro	protein
psaF_pro	protein
gltX_pro	protein
rplS_pro	protein
PMED4_05281_pro	protein
hflC_pro	protein
cxp_pro	protein
PMED4_05451_pro	protein
purA_pro	protein
psb27_pro	protein
proS_pro	protein
gpmB_pro	protein
tal_pro	protein
frr_pro	protein
ilvH_pro	protein
"rps1b, rpsA2, nbp1_pro"	protein
PMED4_05811_pro	protein
chlL_pro	protein
chlB_pro	protein
chlN_pro	protein
ccmK_pro	protein
rbcL_pro	protein
rbcS_pro	protein
csoS2_pro	protein
hisG_pro	protein
PMED4_06251_pro	protein
PMED4_06261_pro	protein
hemE_pro	protein
glgB_pro	protein
proA_pro	protein
trpS_pro	protein
sds_pro	protein
acs_pro	protein
PMED4_06911_pro	protein
PMED4_07151_pro	protein
nrdJ_pro	protein
aroB_pro	protein
PMED4_07841_pro	protein
PMED4_07981_pro	protein
PMED4_08091_pro	protein
PMED4_08181_pro	protein
PMED4_08261_pro	protein
PMED4_08271_pro	protein
PMED4_08281_pro	protein
rpsB_pro	protein
sir_pro	protein
chlP_pro	protein
typA_pro	protein
rpe_pro	protein
glpX_pro	protein
hemA_pro	protein
glgC_pro	protein
gnd_pro	protein
PMED4_08621_pro	protein
PMED4_08661_pro	protein
cbbA_pro	protein
prkB_pro	protein
PMED4_08831_pro	protein
PMED4_08901_pro	protein
carB_pro	protein
tpi_pro	protein
chlH_pro	protein
mfd_pro	protein
"PNIL34,AT103_pro"	protein
PMED4_09741_pro	protein
metG_pro	protein
pheT_pro	protein
metH_pro	protein
ilvE_pro	protein
PMED4_09941_pro	protein
PMED4_09971_pro	protein
leuS_pro	protein
pgi_pro	protein
argC_pro	protein
PMED4_10051_pro	protein
dnaK_pro	protein
rpmB_pro	protein
psaK_pro	protein
Dxs_pro	protein
pykF_pro	protein
glnA_pro	protein
psb28_pro	protein
pdhB_pro	protein
PMED4_10521_pro	protein
rpsO_pro	protein
