id,gene,refseq,chrom,start,end
dnaN_mRNA,PMM0001,33860561,,,
dnaN_pro,PMM0001,33860561,,,
PMED4_00011_mRNA,PMM0002,33860562,,,
purL_mRNA,PMM0003,33860563,,,
purL_pro,PMM0003,33860563,,,
purF_mRNA,PMM0004,33860564,,,
purF_pro,PMM0004,33860564,,,
PMED4_00041_mRNA,PMM0005,33860565,,,
PMED4_00041_pro,PMM0005,33860565,,,
PMED4_00051_mRNA,PMM0006,33860566,,,
PMED4_00061_mRNA,PMM0007,33860567,,,
PMED4_00071_mRNA,PMM0008,33860568,,,
PMED4_00071_pro,PMM0008,33860568,,,
PMED4_00081_mRNA,PMM0009,33860569,,,
ftsY_mRNA,PMM0010,33860570,,,
ftsY_pro,PMM0010,33860570,,,
PMED4_00101_mRNA,PMM0011,33860571,,,
PMED4_00111_mRNA,PMM0012,33860572,,,
PMED4_00121_mRNA,PMM0013,33860573,,,
PMED4_00121_pro,PMM0013,33860573,,,
PMED4_00131_mRNA,PMM0014,33860574,,,
PMED4_00141_mRNA,PMM0015,33860575,,,
grpE_mRNA,PMM0016,33860576,,,
grpE_pro,PMM0016,33860576,,,
dnaJ_mRNA,PMM0017,33860577,,,
dnaJ_pro,PMM0017,33860577,,,
PMED4_00171_mRNA,PMM0018,33860578,,,
PMED4_00181_mRNA,PMM0019,33860579,,,
PMED4_00191_mRNA,PMM0020,33860580,,,
PMED4_00191_pro,PMM0020,33860580,,,
PMED4_00201_mRNA,PMM0021,33860581,,,
PMED4_00211_mRNA,PMM0022,33860582,,,
gap2_mRNA,PMM0023,33860583,,,
gap2_pro,PMM0023,33860583,,,
PMED4_00231_mRNA,PMM0024,33860584,,,
PMED4_00241_mRNA,PMM0025,33860585,,,
PMED4_00241_pro,PMM0025,33860585,,,
PMED4_00251_mRNA,PMM0026,33860586,,,
accB_mRNA,PMM0027,33860587,,,
accB_pro,PMM0027,33860587,,,
PMED4_00271_mRNA,PMM0028,33860588,,,
PMED4_00281_mRNA,PMM0029,33860589,,,
PMED4_00281_pro,PMM0029,33860589,,,
PMED4_00291_mRNA,PMM0030,33860590,,,
PMED4_00301_mRNA,PMM0031,33860591,,,
PMED4_00311_mRNA,PMM0032,33860592,,,
PMED4_00311_pro,PMM0032,33860592,,,
PMED4_00321_mRNA,PMM0033,33860593,,,
PMED4_00331_mRNA,PMM0034,33860594,,,
DHSS_mRNA,PMM0035,33860595,,,
DHSS_pro,PMM0035,33860595,,,
PMED4_00351_mRNA,PMM0036,33860596,,,
