id,gene,refseq,chrom,start,end
dnaN_mRNA,PMM0001,PMM0001,,,
dnaN_pro,PMM0001,PMM0001,,,
PMED4_00011_mRNA,PMM0002,PMM0002,,,
purL_mRNA,PMM0003,PMM0003,,,
purL_pro,PMM0003,PMM0003,,,
purF_mRNA,PMM0004,PMM0004,,,
purF_pro,PMM0004,PMM0004,,,
PMED4_00041_mRNA,PMM0005,PMM0005,,,
PMED4_00041_pro,PMM0005,PMM0005,,,
PMED4_00051_mRNA,PMM0006,PMM0006,,,
PMED4_00061_mRNA,PMM0007,PMM0007,,,
PMED4_00071_mRNA,PMM0008,PMM0008,,,
PMED4_00071_pro,PMM0008,PMM0008,,,
PMED4_00081_mRNA,PMM0009,PMM0009,,,
ftsY_mRNA,PMM0010,PMM0010,,,
ftsY_pro,PMM0010,PMM0010,,,
PMED4_00101_mRNA,PMM0011,PMM0011,,,
PMED4_00111_mRNA,PMM0012,PMM0012,,,
PMED4_00121_mRNA,PMM0013,PMM0013,,,
PMED4_00121_pro,PMM0013,PMM0013,,,
PMED4_00131_mRNA,PMM0014,PMM0014,,,
PMED4_00141_mRNA,PMM0015,PMM0015,,,
grpE_mRNA,PMM0016,PMM0016,,,
grpE_pro,PMM0016,PMM0016,,,
dnaJ_mRNA,PMM0017,PMM0017,,,
dnaJ_pro,PMM0017,PMM0017,,,
PMED4_00171_mRNA,PMM0018,PMM0018,,,
PMED4_00181_mRNA,PMM0019,PMM0019,,,
PMED4_00191_mRNA,PMM0020,PMM0020,,,
PMED4_00191_pro,PMM0020,PMM0020,,,
PMED4_00201_mRNA,PMM0021,PMM0021,,,
PMED4_00211_mRNA,PMM0022,PMM0022,,,
gap2_mRNA,PMM0023,PMM0023,,,
gap2_pro,PMM0023,PMM0023,,,
PMED4_00231_mRNA,PMM0024,PMM0024,,,
PMED4_00241_mRNA,PMM0025,PMM0025,,,
PMED4_00241_pro,PMM0025,PMM0025,,,
PMED4_00251_mRNA,PMM0026,PMM0026,,,
accB_mRNA,PMM0027,PMM0027,,,
accB_pro,PMM0027,PMM0027,,,
PMED4_00271_mRNA,PMM0028,PMM0028,,,
PMED4_00281_mRNA,PMM0029,PMM0029,,,
PMED4_00281_pro,PMM0029,PMM0029,,,
PMED4_00291_mRNA,PMM0030,PMM0030,,,
PMED4_00301_mRNA,PMM0031,PMM0031,,,
PMED4_00311_mRNA,PMM0032,PMM0032,,,
PMED4_00311_pro,PMM0032,PMM0032,,,
PMED4_00321_mRNA,PMM0033,PMM0033,,,
PMED4_00331_mRNA,PMM0034,PMM0034,,,
DHSS_mRNA,PMM0035,PMM0035,,,
DHSS_pro,PMM0035,PMM0035,,,
PMED4_00351_mRNA,PMM0036,PMM0036,,,
